schema_version,measurement_id,observation_id,source_type,evidence_mode,observation_kind,root_query_id,root_query_text,observed_at,observed_at_precision,region,region_status,device,device_status,conversation_context,answer_present,answer_status,answer_snapshot,source_domain,source_url,source_page_type,source_order_displayed,fanout_text,fanout_status,raw_ref,source_ref,record_status,notes
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0010,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,goroskop365.ru,https://goroskop365.ru/taurus/,informational,10,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0011,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,alltime.ru,https://www.alltime.ru/blog/?page=post&blog=watchblog&post_id=talismany-dlya-ovnov-luchshie-oberegi-muzhchinam-i-zhenshchinam,retail_commerce_content,11,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0012,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,blog.arcanum.ru,https://www.blog.arcanum.ru/blog/kakie-talismany-oven/,informational,12,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0013,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,media.stoloto.ru,https://media.stoloto.ru/article/talismany-na-udacu-dla-ovnov,media,13,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0014,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,milanasilver.ru,https://milanasilver.ru/blog/goroskop/kakie_kamni_podkhodyat_po_zodiaku_ovnam_luchshie_talismany_oberegi_dlya_ovnov/,retail_commerce_content,14,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0015,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,horo.mail.ru,https://horo.mail.ru/article/6580-kamni-dlya-ovna/,informational_media,15,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0016,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,media.stoloto.ru,https://media.stoloto.ru/article/talismany-na-udacu-dla-telcov,media,16,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0017,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,horo.mail.ru,https://horo.mail.ru/article/6533-kamni-dlya-teltsa/,informational_media,17,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0018,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,milanasilver.ru,https://milanasilver.ru/blog/goroskop/kakie_kamni_podkhodyat_po_zodiaku_teltsam_luchshie_talismany_i_oberegi_dlya_teltsov/,retail_commerce_content,18,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0019,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,alltime.ru,https://www.alltime.ru/blog/?page=post&blog=watchblog&post_id=talismany-dlya-teltsov-luchshie-oberegi-muzhchinam-i-zhenshchinam,retail_commerce_content,19,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0020,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,miuz.ru,https://miuz.ru/guide/stones/zodiak/taurus/,retail_commerce_content,20,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0021,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,media.stoloto.ru,https://media.stoloto.ru/article/talismany-na-udacu-dla-rakov,media,21,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0022,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,alltime.ru,https://www.alltime.ru/blog/?page=post&blog=watchblog&post_id=talismany-dlya-rakov-luchshie-oberegi-muzhchinam-i-zhenshchinam,retail_commerce_content,22,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0023,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,sunlight.net,https://sunlight.net/wiki/kak-vybrat-amulet-ili-talisman-dlya-raka.html/,retail_commerce_content,23,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0024,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,chronos.mg,https://chronos.mg/blog/talismany-dlya-znaka-zodiaka-rak/,informational,24,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0025,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,horo.mail.ru,https://horo.mail.ru/article/6544-kamni-dlya-raka/,informational_media,25,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0026,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,media.stoloto.ru,https://media.stoloto.ru/article/talismany-na-udacu-dla-lvov,media,26,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0027,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,alltime.ru,https://www.alltime.ru/blog/?page=post&blog=watchblog&post_id=talismany-dlya-lvov-luchshie-oberegi-muzhchinam-i-zhenshchinam,retail_commerce_content,27,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0028,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,horo.mail.ru,https://horo.mail.ru/article/6530-kamni-dlya-lva/,informational_media,28,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0029,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,sunlight.net,https://sunlight.net/wiki/talismany-lvov-kak-vybrat-amulet-po-znaku-zodiaka.html/,retail_commerce_content,29,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_source_0030,ALICE_SOURCE,OBSERVED,alice_source,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,bestwatch.ru,https://www.bestwatch.ru/review/kamni-dlya-lvov-chto-podkhodit-muzhchinam-i-zhenschinam-etogo-znaka/,retail_commerce_content,30,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Exact URL captured directly from displayed Alice source list.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_fanout_0001,ALICE_FANOUT,OBSERVED,alice_fanout,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,,,,,Какие камни подходят для талисманов Рыб?,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Directly observed Alice follow-up prompt.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_fanout_0002,ALICE_FANOUT,OBSERVED,alice_fanout,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,,,,,Какие символы подходят для Льва?,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Directly observed Alice follow-up prompt.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_fanout_0003,ALICE_FANOUT,OBSERVED,alice_fanout,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,,,,,Какие талисманы подходят для Стрельца?,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Directly observed Alice follow-up prompt.
1.1,m_alice_20260826_bceef220_embedded,o_alice_20260826_bceef220_sources_complete_0035,ALICE_SOURCE,OBSERVED,alice_sources_panel_complete,q_bceef2201e2d,талисман знак зодиака,2026-08-26,DAY,,NOT_CONFIRMED,DESKTOP,MEASURED,SERP_EMBEDDED_QUICK_ANSWER,,,,,,,,,OBSERVED,marketing/data/raw/alice/20260826__talisman_znak_zodiaka__embedded.md,,VALID,Alice explicitly displayed '30 источников'; all 30 displayed source URLs were captured. Sources panel/list completeness CONFIRMED.
