sku	product_id	query_normalized	observed_search_users	observed_orders	observed_gmv	observed_slice_count	searches_desc_present	searches_asc_present	gmv_desc_present	gmv_asc_present	relevance_strength	coverage_gap_strength	ownership_clarity	data_confidence	metric_conflict
1602715556	1082852354	вонючка дельфин в машину синяя на зеркало	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	герб россии на зеркало деревянный в машину	1.0	0.0	0.0	1	NO	NO	YES	NO	0	0	0	LOW	NO
1602715556	1082852354	демон на машину подвеска на стекло маленькие	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	зеркало	23675.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	зеркало иг	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	коловрат	1707.0	0.0	0.0	1	YES	NO	NO	NO	0	2	0	LOW	NO
1602715556	1082852354	коловрат подвеска	250.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602715556	1082852354	красный самурайский	0.0	0.0	0.0	1	NO	YES	NO	NO	0	2	0	LOW	NO
1602715556	1082852354	кулон на зеркало в машину	2.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602715556	1082852354	машинки с подвеской	3.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	оберег в машину	516.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	оберег в машину мужской	13.0	0.0	0.0	1	NO	NO	NO	YES	2	0	1	LOW	NO
1602715556	1082852354	обереги	172.0	0.0	0.0	1	NO	NO	NO	YES	2	0	1	LOW	NO
1602715556	1082852354	подвеска в машину	3171.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	подвеска в машину на зеркало	1560.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	подвеска в машину обезьяна из дорамы	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602715556	1082852354	подвеска зеркало оберег	11.0	0.0	0.0	1	NO	NO	NO	YES	2	0	1	LOW	NO
1602715556	1082852354	подвеска из дерева в машину	3.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	подвеска на зеркало в машину	1288.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	подвеска руна	66.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	подвески на зеркало	2.0	0.0	0.0	1	NO	NO	YES	NO	2	0	1	LOW	NO
1602715556	1082852354	самурай	2260.0	0.0	0.0	1	YES	NO	NO	NO	0	2	0	LOW	NO
1602715556	1082852354	самурайские аксессуары	2.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	самурайский оберег	0.0	0.0	690.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	самурайский стиль	2.0	0.0	0.0	1	NO	NO	NO	YES	0	2	0	LOW	NO
1602715556	1082852354	самурая на голову	0.0	0.0	0.0	1	NO	YES	NO	NO	0	2	0	LOW	NO
1602715556	1082852354	талисман	510.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	талисман из дерева	2.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	талисман японский	5.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602715556	1082852354	четки	23227.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	YES
1602715556	1082852354	четки в автомобиль	370.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	четки в машину	3534.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	четки в машину на зеркало	662.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602715556	1082852354	четки на зеркало в машину	221.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	амулет	1355.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	амулет в автомобиль	8.0	0.0	0.0	1	NO	NO	YES	NO	2	0	1	LOW	NO
1602717077	1082855228	амулет оберег	7.0	0.0	0.0	1	NO	NO	YES	NO	2	0	1	LOW	NO
1602717077	1082855228	амулет подвеска грифон	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	амулет подвеска кришна	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602717077	1082855228	амулет руна в машину	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	амулеты	139.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	амулеты обереги	179.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	амулеты обереги и талисманы	422.0	0.0	0.0	2	YES	YES	NO	NO	2	0	1	MEDIUM	YES
1602717077	1082855228	атрибуты с российской символикой	1.0	0.0	0.0	1	NO	NO	NO	YES	0	2	0	LOW	NO
1602717077	1082855228	ботвеска в машине	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	браслет мужской с шлем ужаса	1.0	0.0	0.0	1	NO	NO	YES	NO	5	1	2	LOW	NO
1602717077	1082855228	браслет шлем ужаса серебро	1.0	0.0	0.0	1	NO	NO	YES	NO	5	1	2	LOW	NO
1602717077	1082855228	брелок на зеркало в машину крест	1.0	0.0	0.0	1	NO	NO	NO	YES	0	0	0	LOW	NO
1602717077	1082855228	брелок на зеркало в машину ссср скилет	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	брелок на зеркало в машину фемида	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602717077	1082855228	брелок у машину byd на зерколо	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602717077	1082855228	бусина шлем ужаса	3.0	0.0	0.0	1	NO	NO	YES	NO	5	1	2	LOW	NO
1602717077	1082855228	бусины диаметр 1 см	0.0	0.0	0.0	1	NO	YES	NO	NO	0	2	0	LOW	NO
1602717077	1082855228	бусины для подвески на зеркало в машину	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602717077	1082855228	в машину авулет	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602717077	1082855228	в машину на зеркало	120.0	0.0	810.0	1	NO	NO	YES	NO	2	0	1	LOW	NO
1602717077	1082855228	в машину на зеркало оберег	1.0	0.0	0.0	1	NO	NO	YES	NO	2	0	1	LOW	NO
1602717077	1082855228	зеркало	6856.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	зеркало на шлем	1.0	0.0	0.0	1	NO	NO	YES	NO	5	0	2	LOW	NO
1602717077	1082855228	зеркальный оберег	16.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602717077	1082855228	зеркальце на шлем	1.0	0.0	0.0	1	NO	NO	NO	YES	5	1	2	LOW	NO
1602717077	1082855228	кому в шлем	0.0	0.0	0.0	1	NO	YES	NO	NO	5	1	2	LOW	NO
1602717077	1082855228	крест а зеркало в машину	0.0	0.0	0.0	1	NO	YES	NO	NO	0	0	0	LOW	NO
1602717077	1082855228	крест деревянны в машину на зеркало	0.0	0.0	0.0	1	NO	YES	NO	NO	0	0	0	LOW	NO
1602717077	1082855228	крест зеркало	1.0	0.0	0.0	1	NO	NO	YES	NO	0	0	0	LOW	NO
1602717077	1082855228	магический амулет , оберег	15.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	на зеркало подвеска автомобиля	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	набор	10784.0	0.0	0.0	1	YES	NO	NO	NO	0	0	0	LOW	NO
1602717077	1082855228	оберег в машину	885.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	оберег зеркало на шею	9.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602717077	1082855228	оберег с зеркалом	5.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	обереги	127.0	0.0	0.0	2	YES	YES	NO	NO	2	0	1	MEDIUM	YES
1602717077	1082855228	обереги и талисманы	45.0	0.0	0.0	1	NO	NO	NO	YES	2	0	1	LOW	NO
1602717077	1082855228	подвеска амулет аллах в авто	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602717077	1082855228	подвеска в автобус на зеркало ввс	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602717077	1082855228	подвеска в машину	3171.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	подвеска в машину на зеркало lron maiden	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	подвеска в машину на зеркало а	0.0	0.0	0.0	1	NO	YES	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	подвеска в машину на зеркало белджи	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	подвеска в машину оберег на зеркало	1.0	0.0	0.0	1	NO	NO	YES	NO	2	0	1	LOW	NO
1602717077	1082855228	подвеска на зеркало авто уголовный розыск в машину	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602717077	1082855228	подвеска на зеркало в машину	1288.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	подвеска на зеркало деревянная	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602717077	1082855228	руны	4956.0	0.0	0.0	1	YES	NO	NO	NO	0	2	0	LOW	NO
1602717077	1082855228	талисман	207.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	талисманы и обереги	146.0	0.0	0.0	1	YES	NO	NO	NO	2	0	1	LOW	NO
1602717077	1082855228	шлем	6233.0	0.0	0.0	1	YES	NO	NO	NO	5	0	2	LOW	NO
1602717077	1082855228	шлем брелок на	1.0	0.0	0.0	1	NO	NO	YES	NO	5	1	2	LOW	NO
1602717077	1082855228	шлем ужаса	267.0	0.0	0.0	1	YES	NO	NO	NO	5	0	2	LOW	NO
1602717077	1082855228	шлем ужаса подвеска	10.0	0.0	0.0	1	NO	NO	NO	YES	5	0	2	LOW	NO
1602717077	1082855228	шлем ужаса серебро	44.0	0.0	1008.0	1	NO	NO	YES	NO	5	1	2	LOW	NO
1602717077	1082855228	шлем ужаса шарм	1.0	0.0	0.0	1	NO	NO	YES	NO	5	1	2	LOW	NO
1602722942	1082862005	авто подвески на зеркало	1.0	0.0	0.0	2	NO	YES	NO	YES	2	2	1	MEDIUM	NO
1602722942	1082862005	акомпас в тысячных	0.0	0.0	0.0	1	NO	YES	NO	NO	0	2	0	LOW	NO
1602722942	1082862005	акриловая бусина машинка	1.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	акриловая подвеска в машину на зеркало	1.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	алатырь оберег в машину	1.0	0.0	0.0	2	NO	YES	NO	YES	0	0	0	MEDIUM	NO
1602722942	1082862005	амулет	3070.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	амулет зеркальная защита	25.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	амулет от сглаза	167.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602722942	1082862005	амулет руны	8.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	амулеты обереги и талисманы	833.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	амулеты обереги и талисманы славянские	12.0	0.0	0.0	1	NO	NO	NO	YES	0	0	0	LOW	NO
1602722942	1082862005	в машину	1159.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	валькнут кулон	2.0	0.0	0.0	1	NO	NO	NO	YES	0	0	0	LOW	NO
1602722942	1082862005	вегвезир	3.0	0.0	820.0	1	NO	NO	YES	NO	0	2	0	LOW	NO
1602722942	1082862005	вегвизир в машину	1.0	0.0	688.0	1	NO	NO	YES	NO	5	0	2	LOW	NO
1602722942	1082862005	викинг подвеска в машину на зеркало	1.0	0.0	825.0	2	NO	YES	YES	NO	2	2	1	MEDIUM	NO
1602722942	1082862005	зеркало	8794.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	зеркало магическое	31.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602722942	1082862005	зеркало ру	0.0	0.0	0.0	2	NO	YES	NO	YES	2	2	1	MEDIUM	NO
1602722942	1082862005	зеркало с ру	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	коловрат	1932.0	0.0	0.0	1	YES	NO	NO	NO	0	2	0	LOW	NO
1602722942	1082862005	компас вегвизир	1.0	0.0	0.0	1	NO	YES	NO	NO	5	0	2	LOW	NO
1602722942	1082862005	ловец снов в машину мужской	0.0	0.0	1764.0	2	NO	YES	YES	NO	2	2	1	MEDIUM	NO
1602722942	1082862005	на зеркало подвеска в машину	6.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	оберег	3574.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	оберег в машину	1190.0	0.0	1089.0	2	YES	NO	YES	NO	2	2	1	MEDIUM	NO
1602722942	1082862005	оберег в машину женский	19.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	оберег в машину на зеркало женский	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	оберег в мвшину	0.0	0.0	663.0	2	NO	YES	YES	NO	2	2	1	MEDIUM	NO
1602722942	1082862005	оберег от сглаза	110.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	оберег от сглаза и порчи	1968.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	оберег с зеркалом	6.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	обереги языческие	2.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	от сглаза в авто	2.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	подвеска в авто	1.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	подвеска в машину	3171.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	подвеска в машину на зеркало	1560.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	подвеска в машину на зеркало четки	3.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1602722942	1082862005	подвеска на зеркало в машину	1288.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	подвеска на зеркало в машину ссср	1.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	рунический амулет	20.0	0.0	0.0	1	NO	NO	YES	NO	5	0	2	LOW	NO
1602722942	1082862005	руны	5189.0	0.0	0.0	1	YES	NO	NO	NO	0	2	0	LOW	NO
1602722942	1082862005	руны подвеска дерево в машину на защиту	0.0	0.0	1120.0	2	NO	YES	YES	NO	2	2	1	MEDIUM	NO
1602722942	1082862005	скандинавский оберег на зеркало в машину	1.0	0.0	701.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602722942	1082862005	славянские обереги	1109.0	0.0	0.0	2	YES	NO	NO	YES	0	0	1	MEDIUM	NO
1602722942	1082862005	славянский амулет	20.0	0.0	0.0	1	NO	NO	YES	NO	0	0	0	LOW	NO
1602722942	1082862005	талисман	672.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	четки в машину	772.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1602722942	1082862005	четки руна	1.0	0.0	531.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1602722942	1082862005	четки славянские	41.0	0.0	696.0	1	NO	NO	YES	NO	0	0	1	LOW	NO
1602722942	1082862005	четки языческие	6.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611643847	1092556350	lol	380.0	0.0	0.0	1	YES	NO	NO	NO	0	2	0	LOW	NO
1611643847	1092556350	акриловая подвеска в машину	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	амулеты обереги и талисманы	217.0	0.0	0.0	2	YES	NO	YES	NO	2	2	1	MEDIUM	NO
1611643847	1092556350	бог и богиня	0.0	0.0	0.0	1	NO	YES	NO	NO	0	0	0	LOW	NO
1611643847	1092556350	в автомобиль подвеска	4.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611643847	1092556350	в машину амулет	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	валькнут	168.0	0.0	0.0	1	YES	NO	NO	NO	0	0	2	LOW	NO
1611643847	1092556350	голова хищника в машину подвеска	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611643847	1092556350	гун подвеска	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	гунгнир копье не	0.0	0.0	0.0	1	NO	YES	NO	NO	5	1	2	LOW	NO
1611643847	1092556350	гунгнир копьем одиума	0.0	0.0	0.0	1	NO	NO	YES	NO	5	1	2	LOW	NO
1611643847	1092556350	доска гунгнир	0.0	0.0	0.0	1	NO	YES	NO	NO	5	1	2	LOW	NO
1611643847	1092556350	зеркало авто подвеска	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	коп гунгнир один	0.0	0.0	0.0	1	NO	YES	NO	NO	5	1	2	LOW	NO
1611643847	1092556350	копй для зеркал	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	копъе	1.0	0.0	0.0	1	NO	NO	YES	NO	0	2	0	LOW	NO
1611643847	1092556350	копье	1388.0	0.0	0.0	1	YES	NO	NO	NO	5	0	2	LOW	YES
1611643847	1092556350	копье 1/12	0.0	0.0	0.0	1	NO	YES	NO	NO	5	1	2	LOW	NO
1611643847	1092556350	копье бога	1.0	0.0	0.0	1	NO	NO	NO	YES	5	1	2	LOW	NO
1611643847	1092556350	копье дерева 200 см	0.0	0.0	0.0	1	NO	YES	NO	NO	5	1	2	LOW	NO
1611643847	1092556350	копье ммг	0.0	0.0	0.0	1	NO	YES	NO	NO	5	1	2	LOW	NO
1611643847	1092556350	копья деревянные	1.0	0.0	0.0	1	NO	NO	YES	NO	0	2	0	LOW	NO
1611643847	1092556350	кулоны зеркальные обереги	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	мощные амулеты	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611643847	1092556350	оберег	184.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	оберег в машину	337.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	оберег в машину от дерева жизни на зеркало	1.0	0.0	0.0	1	NO	NO	YES	NO	0	0	0	LOW	NO
1611643847	1092556350	оберег на зеркало автомобиля	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	оберег от сглаза и порчи	366.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	оберег язычество для	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	обереги от порчи	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	от сглаза	228.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	подвеска	2492.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	подвеска амулет оберег	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	подвеска в авто бусины	2.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	подвеска в машину	3171.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	подвеска в машину на зеркало женская оберег	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611643847	1092556350	подвеска в машину на зеркало ма ка крик	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	подвеска в машину на зеркало русская красавица	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611643847	1092556350	подвеска в машину на зеркало спецназ внутренних войск	0.0	0.0	0.0	2	NO	YES	NO	YES	2	2	1	MEDIUM	NO
1611643847	1092556350	подвеска валькнут	4.0	0.0	0.0	1	NO	NO	NO	YES	0	0	0	LOW	NO
1611643847	1092556350	подвеска катана в машину на зеркало мужская	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	подвеска на зеркало в машину	1063.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	подвеска от сглаза в машину	3.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	руна гунгнира футболка	1.0	0.0	0.0	1	NO	NO	YES	NO	1	1	0	LOW	NO
1611643847	1092556350	руны	1194.0	0.0	0.0	1	YES	NO	NO	NO	0	2	0	LOW	NO
1611643847	1092556350	руны амулет защита	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	руны обкрег	1.0	0.0	0.0	1	NO	NO	NO	YES	0	2	0	LOW	NO
1611643847	1092556350	сила	108.0	0.0	0.0	1	YES	NO	NO	NO	0	2	0	LOW	NO
1611643847	1092556350	сковорода гугнир	1.0	0.0	0.0	1	NO	NO	YES	NO	0	2	0	LOW	NO
1611643847	1092556350	талисманы	58.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	узел оберег	1.0	0.0	0.0	1	NO	NO	YES	NO	0	0	0	LOW	NO
1611643847	1092556350	флаг гугнир	0.0	0.0	0.0	1	NO	YES	NO	NO	0	2	0	LOW	NO
1611643847	1092556350	четки автомобильные скандинавские с рунами	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611643847	1092556350	четки в машину	137.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611643847	1092556350	штуки где зеркало в машине в	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611643847	1092556350	язычество оберег	1.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611695246	1092558299	амулет в машину на зеркало с горного алтая	1.0	0.0	0.0	1	NO	NO	NO	YES	2	2	1	LOW	NO
1611695246	1092558299	амулеты обереги и талисманы	228.0	0.0	0.0	1	YES	NO	NO	NO	2	2	1	LOW	NO
1611695246	1092558299	амулеты языческие	2.0	0.0	0.0	1	NO	NO	YES	NO	2	2	1	LOW	NO
1611695246	1092558299	бусина от сглаза на зеркало машины	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1611695246	1092558299	бусы оберег	0.0	0.0	0.0	1	NO	YES	NO	NO	2	2	1	LOW	NO
1611695246	1092558299	в авто славянские символы в машину	1.0	0.0	0.0	1	NO	NO	NO	YES	0	0	0	LOW	NO
