sku	product_id	observed_raw_queries	unique_normalized_queries	exact_strong_queries	family_generic_queries	irrelevant_neighbor_queries	semantic_clusters	uncovered_relevant_clusters	overlap_cannibalization_risk	ready_candidates	hold_items	overall_analytical_status
2184098058	1831327502	60	58	0	50	5	7	6	MEDIUM	50	3	READY_REVIEW
2184133137	1831377069	60	58	6	50	0	7	7	MEDIUM	53	2	READY_REVIEW
2184153852	1831403746	60	60	4	50	1	9	9	MEDIUM	53	5	READY_REVIEW
2184168890	1831422362	60	58	2	48	3	9	9	MEDIUM	50	5	READY_REVIEW
2184199958	1831464047	60	57	3	51	0	8	8	MEDIUM	53	3	READY_REVIEW
2184234912	1831506538	60	53	3	42	0	11	10	MEDIUM	43	8	READY_REVIEW
2184932293	1832435919	60	55	3	46	1	10	9	MEDIUM	48	5	READY_REVIEW
2186766628	1834930939	60	58	12	41	3	8	8	HIGH	50	2	READY_REVIEW
2186796339	1834968755	60	57	10	43	3	7	7	HIGH	49	1	READY_REVIEW
2186802133	1834976037	60	58	16	38	4	4	4	HIGH	47	0	READY_REVIEW
2186836116	1835021816	60	57	9	45	2	6	6	HIGH	52	1	READY_REVIEW
2186839757	1835026306	60	57	8	43	5	7	7	HIGH	49	1	READY_REVIEW
2186843798	1835030733	60	59	21	36	0	7	7	HIGH	45	2	READY_REVIEW
2186846833	1835035733	60	56	11	43	1	6	6	HIGH	50	1	READY_REVIEW
2186848313	1835037959	60	59	5	50	3	7	7	MEDIUM	53	1	READY_REVIEW
2186850644	1835042242	60	58	9	45	1	9	9	HIGH	47	3	READY_REVIEW
2186852750	1835045239	60	58	16	35	0	12	12	HIGH	46	7	READY_REVIEW
2186856503	1835048645	60	58	6	36	7	11	10	HIGH	39	9	READY_REVIEW
2186857668	1835050645	60	54	9	39	6	5	5	HIGH	43	0	READY_REVIEW
2186865070	1835063317	60	60	20	36	2	7	7	HIGH	47	2	READY_REVIEW
2271188511	1947980208	60	58	9	46	3	5	5	HIGH	53	0	READY_REVIEW
2271210394	1948032144	60	59	9	46	1	6	6	HIGH	52	3	READY_REVIEW
2271219774	1948039800	60	60	12	44	0	9	9	HIGH	45	4	READY_REVIEW
2271234726	1948064495	60	58	8	43	3	9	9	HIGH	46	4	READY_REVIEW
2271240621	1948071647	60	56	13	37	0	9	9	HIGH	45	6	READY_REVIEW
2271246783	1948079096	60	59	17	32	0	12	12	HIGH	43	10	READY_REVIEW
2271251938	1948085774	60	58	7	48	0	8	8	HIGH	52	3	READY_REVIEW
2271262133	1948098351	60	57	9	43	1	10	10	HIGH	47	4	READY_REVIEW
2271270261	1948107866	60	58	3	52	2	6	6	MEDIUM	55	1	READY_REVIEW
2271275793	1948116414	60	60	8	49	1	7	7	HIGH	51	2	READY_REVIEW
2271285786	1948128035	60	59	12	42	2	8	8	HIGH	53	3	READY_REVIEW
2271292556	1948138072	60	58	13	45	0	6	6	HIGH	55	0	READY_REVIEW
2326866320	2020661872	60	55	6	46	2	7	7	MEDIUM	51	2	READY_REVIEW
2559437928	2324003802	60	55	0	47	0	10	9	MEDIUM	47	8	READY_REVIEW
2559748332	2324384021	60	50	3	41	4	6	5	MEDIUM	41	2	READY_REVIEW
2559817779	2324467855	60	59	4	50	4	6	6	MEDIUM	53	1	READY_REVIEW
