query_or_cluster	ownership_type	primary_owner_sku	supporting_skus	competing_skus	overlap_risk	ownership_reason	manual_review_required
аксессуары для авто самурай	FAMILY_SHARED		1602715556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары для автомобиля подвеска на зеркало	FAMILY_SHARED		2186766628		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары для машины в подарок мужчине подвески на зеркало	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары для овна	FAMILY_SHARED		2271251938		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары для стрел	FAMILY_SHARED		2186839757		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары на зеркало в атомобиль	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары на машину герб	SKU_SPECIFIC	2559748332			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
аксессуары салона авто	FAMILY_SHARED		1640337426;2184133137;2184199958		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
аксессуары самурая	FAMILY_SHARED		1602715556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары славян	FAMILY_SHARED		2184199958		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аксессуары славянские	FAMILY_SHARED		1630033296		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
алатырь	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь агат	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь амулет мужской	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь бляшка	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь большой	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь в машину	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь в солнце	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь закладка	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь из дуба	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь из золота	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь кгига	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь оберег в машину	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь п	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь подве	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь пьютер	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь талисман	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алатырь штамп	SKU_SPECIFIC	1640251697			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
алимпийская мишка брелок в машину подвеска	FAMILY_SHARED		2271234726		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
алтырь деревянный большой	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
алтырь славянских богов	FAMILY_SHARED		1640251697		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
аметист даждьбог	SKU_SPECIFIC	2184932293			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амлеты	UNCLEAR				MEDIUM	0 exact/strong owner(s); 0 family/generic supporting relation(s).	YES
амулет	STORE_GENERIC		1602717077;1602722942;1630040194;1636041142;1636048691;1640251697;1640264403;1640306007;1640326205;1640330072;1720148880;1943215793;2183921966;2183985513;2184199958;2184234912;2326866320;2559437928		LOW	0 exact/strong owner(s); 18 family/generic supporting relation(s).	NO
амулет - подвеска на зеркало в машину	FAMILY_SHARED		1720148880		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет близнецы в машин	SKU_SPECIFIC	1720131759			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет близнецы в машину подвеска	SKU_SPECIFIC	1720131759			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет бога	FAMILY_SHARED		1636041142		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет бога перун	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет бусина	STORE_GENERIC		1602715556;1720141903;1720153914;2186848313		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
амулет в автомобиль	STORE_GENERIC		1602717077;2271251938;2271285786		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
амулет в автомобиль на зеркало	FAMILY_SHARED		1720137256		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет в машину	STORE_GENERIC		1630040194;2183985513;2184153852;2186802133		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
амулет в машину женский зеркальная	FAMILY_SHARED		2271219774		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет в машину мусульманский	FAMILY_SHARED		1943215793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет в машину мусульманский подвеска мужская	FAMILY_SHARED		1629553898		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет в машину на зеркало	STORE_GENERIC		1640334195;2271188511		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет в машину на зеркало мужской	STORE_GENERIC		1720151850;2184234912;2186796339		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
амулет в машину на зеркало с горного алтая	FAMILY_SHARED		1611695246		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет в машину от сглаза	FAMILY_SHARED		2184133137		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет в машину славянский	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет в машину славянский на зеркало	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет велеса браслет	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет весы	SKU_SPECIFIC	1720137256			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет глаз подвеска в машину	FAMILY_SHARED		2326866320		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет деревянный	STORE_GENERIC		1720148880;1720153914;2184153852;2184234912		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
амулет для автомобиля	STORE_GENERIC		1720160556;1842444165		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет для автомобиля в машину на зеркало	STORE_GENERIC		1720161841;2271188511;2559748332		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
амулет для защиты	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет для львп	FAMILY_SHARED		2271188511		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет для магии черной	FAMILY_SHARED		1720148880;1720151850;1720160556		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
амулет для машины подвеска	STORE_GENERIC		1640334195;2271188511		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет для мужчины тельца	FAMILY_SHARED		2271292556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет для овна мужской	FAMILY_SHARED		2186850644		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет для тельца мужской в авто	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет доч знака зодиака змееносец	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет з	FAMILY_SHARED		1640326230		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет зведа	FAMILY_SHARED		2184234912		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет звезда лады	SKU_SPECIFIC	2184234912			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет звезда руси	SKU_SPECIFIC	2184234912			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет зеркало	STORE_GENERIC		1636048691;2186843798;2559817779		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
амулет зеркало защиты для мужчин	FAMILY_SHARED		2271275793		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет зеркало магическое	FAMILY_SHARED		1602715556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет зеркало мужской	FAMILY_SHARED		2271188511		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет зеркало оберег	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет зеркальная защита	STORE_GENERIC		1602722942;2271246783		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет зеркальный	STORE_GENERIC		1720148880;1842444165;2184153852;2184234912		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
амулет знак велеса серебро	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет из дерева	FAMILY_SHARED		1640334195;1640337426;2184168890		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
амулет иньян для мужчин	FAMILY_SHARED		1629553898		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет кали богиня	FAMILY_SHARED		2184199958		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет козерог и клевер	SKU_SPECIFIC	2271246783			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет крес славян	FAMILY_SHARED		2184168890		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет кулон - зеркало	FAMILY_SHARED		2186766628		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет медведь на веревке	FAMILY_SHARED		1623753672		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет молот перуна	FAMILY_SHARED		2183921966		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет мужской в машину	FAMILY_SHARED		2559437928		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет мужской в машину деревянный	FAMILY_SHARED		2271246783		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет мужской деревянный	FAMILY_SHARED		2326866320		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет мужской мусульманский	FAMILY_SHARED		2326866320		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет мужской на зеркало щаднего вида	FAMILY_SHARED		2559748332		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет мужской на шею скорпион	SKU_SPECIFIC	1720160556			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет на брелок в машину	FAMILY_SHARED		2326866320		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет на зеркало автомобиля	STORE_GENERIC		1636041142;2559748332		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет на зеркало в машину	FAMILY_SHARED		2271262133		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет на зеркало оберег в машину	STORE_GENERIC		1640330072;1720124782;2559437928		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
амулет на любовь	FAMILY_SHARED		2183808182		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет на машину на зеркало мужской	FAMILY_SHARED		1720137256		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет на удачу в машину	FAMILY_SHARED		2271188511;2271275793		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет на удачу славянский	FAMILY_SHARED		1842444165		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет на шею зеркало	FAMILY_SHARED		1720160556;2186857668;2271275793		LOW	0 exact/strong owner(s); 3 family/generic supporting relation(s).	NO
амулет на шею мужской славянский оберег	FAMILY_SHARED		1640330072		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет на шею славянский	FAMILY_SHARED		2184133137		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет оберег	STORE_GENERIC		1602717077;1630040194;2183985513;2184153852		LOW	0 exact/strong owner(s); 4 family/generic supporting relation(s).	NO
амулет оберег бык	FAMILY_SHARED		2271292556		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет от сглаза	FAMILY_SHARED		1602722942		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет от сглаза брелок в машину на зеркало	FAMILY_SHARED		2183985513		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет от сглаза в автомобиль	FAMILY_SHARED		1630033296		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет от сглаза в машину	FAMILY_SHARED		1640330072		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет от сглаза в машину на зеркало	STORE_GENERIC		1640306007;2326866320		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет подвеска грифон	FAMILY_SHARED		1602717077		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет подвеска кришна	FAMILY_SHARED		1602717077		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет подвеска талисман	STORE_GENERIC		1720144370;2184133137		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет руна в машину	FAMILY_SHARED		1602717077		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет руны	FAMILY_SHARED		1602722942		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет рыбы	SKU_SPECIFIC	2186848313			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет с зеркалом	STORE_GENERIC		2184932293;2559748332		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
амулет с зеркалом по	FAMILY_SHARED		2559437928		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет с зеркалом подвеска	STORE_GENERIC		1630040194;1636041142;1640306007;1720151850;2183808182;2271188511		LOW	0 exact/strong owner(s); 6 family/generic supporting relation(s).	NO
амулет с зеркальцем	FAMILY_SHARED		1720161841		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет с рунами	FAMILY_SHARED		1640337426		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет скорпион	SKU_SPECIFIC	1720160556			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет скорпион на	SKU_SPECIFIC	2271275793			LOW	1 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет скорпион на шею талисман	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет славянские боги	FAMILY_SHARED		1630040194		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет славянский в машину на зеркало	EXCLUDED				LOW	0 exact/strong owner(s); 0 family/generic supporting relation(s).	NO
амулет славянский ветер	FAMILY_SHARED		2184098058		LOW	0 exact/strong owner(s); 1 family/generic supporting relation(s).	NO
амулет славянский из дерева для творчества	FAMILY_SHARED		2184153852;2184234912		LOW	0 exact/strong owner(s); 2 family/generic supporting relation(s).	NO
